billValue;billQuantity;AmountBill;coinValue;coinQuantity;AmountCoin
200.0;6.0;1,200.00;;;
100.0;32.0;3,200.00;;;
50.0;133.0;6,650.00;;;
20.0;231.0;4,620.00;;;
10.0;330.0;3,300.00;;;
200.0;8.0;1,600.00;;;
100.0;49.0;4,900.00;;;
50.0;43.0;2,150.00;;;
20.0;97.0;1,940.00;;;
10.0;94.0;940.00;;;
100.0;5.0;500.00;;;
50.0;84.0;4,200.00;;;
20.0;179.0;3,580.00;;;
10.0;233.0;2,330.00;;;
;;;5.0;38.0;190.0
;;;2.0;31.0;62.0
;;;1.0;77.0;77.0
;;;0.5;63.0;31.5
;;;0.2;4.0;0.8
;;;0.1;2.0;0.2
;;;5.0;5.0;25.0
;;;2.0;5.0;10.0
;;;1.0;1.0;1.0
;;;0.5;1.0;0.5
;;;0.2;;0.0
;;;0.1;;0.0
;;;5.0;9.0;45.0
;;;2.0;;0.0
;;;1.0;;0.0
;;;0.5;;0.0
;;;0.2;2.0;0.4
;;;0.1;;0.0
