DateTransfer;DocumentNumberTransfer;BankTransfer;AmountTransfer
14/04/2023;162375;BISA;6053.58
14/04/2023;162376;BISA;4303.94
14/04/2023;162379;BISA;13908.7
14/04/2023;300438;BISA;21977.7
14/04/2023;300437;BISA;13739.4
14/04/2023;45173388809;BISA;874.9
14/04/2023;45153327108;BISA;472.2
14/04/2023;45143693518;BISA;915.8
14/04/2023;53112442171;BISA;434.8
14/04/2023;51717772296;BISA;200.56
14/04/2023;51717769782;BISA;505.94
14/04/2023;45153327134;BISA;133.28
14/04/2023;51517865624;BISA;726.0
14/04/2023;51417842780;BISA;154.2
14/04/2023;45163422742;BISA;249.0
14/04/2023;51167805654;BISA;31254.72
14/04/2023;45153327061;BISA;972.8
14/04/2023;45143693070;BISA;140.0
14/04/2023;45123471757;BISA;4.0
14/04/2023;45143693925;BISA;837.0
14/04/2023;45143693537;BISA;3032.54
14/04/2023;51717705584;BISA;299.84
13/04/2023;45153326882;BISA;321.01
14/04/2023;580913;BISA;95198.9
14/04/2023;580922;BISA;40641.4
